,Gene,x,y
604,Cryab,121,4444
605,Plp1,121,4206
606,Cryab,121,3858
607,Plp1,122,5424
608,Reln,122,5420
609,Cryab,122,5283
610,Plp1,122,5273
611,Plp1,122,5131
612,Cryab,122,4795
613,Id2,122,4648
614,Pcp4,122,4516
615,Plp1,122,4484
616,Plp1,122,4215
617,Plp1,122,4108
618,Pcp4,123,4515
619,Plp1,123,4107
620,Plp1,123,4052
621,Aldoc,123,3871
622,Plp1,123,3853
623,Wfs1,124,5379
624,Plp1,124,5130
625,Id2,124,4650
626,Tac1,124,4292
627,Plp1,124,4165
628,Plp1,124,4162
629,Plp1,124,3951
630,Plp1,125,5268
631,Pcp4,125,5121
632,Plp1,125,4161
633,Plp1,125,4147
634,Plp1,125,3952
635,Plp1,125,3939
636,Plp1,125,3864
637,Plp1,125,3820
638,Plp1,126,5118
639,Plp1,126,4583
640,Plp1,126,4158
641,Aldoc,126,4153
642,Plp1,126,3935
643,Cryab,127,5266
644,Id2,127,4969
645,Plp1,127,4576
646,Slc6a1,127,4295
647,Plp1,127,4212
648,Plp1,127,4205
649,Plp1,127,4173
650,Plp1,127,4165
651,Plp1,127,3941
652,Plp1,127,3868
653,Plp1,127,3815
654,Id2,128,4957
655,Neurod6,128,4866
656,Plp1,128,4577
657,Plp1,128,4169
658,Plp1,128,4141
659,Enpp2,128,3946
660,Plp1,128,3814
661,Plp1,129,5298
662,Plp1,129,5294
663,Enpp2,129,5289
664,Cryab,129,5280
665,Id2,129,4959
666,Neurod6,129,4865
667,Plp1,129,4578
668,Plp1,129,4217
669,Enpp2,129,3854
670,Id2,130,5185
671,Pcp4,130,4814
672,Plp1,130,4586
673,Plp1,130,4566
674,Sulf2,130,4286
675,Plp1,130,4144
676,Plp1,130,3870
677,Enpp2,130,3855
678,Plp1,130,3849
679,Cryab,130,3844
680,Plp1,131,5413
681,Pcp4,131,4816
682,Plp1,131,4805
683,Grin3a,131,4268
684,Enpp2,131,4211
685,Plp1,131,4201
686,Cryab,131,3943
687,Id2,131,3805
688,Vip,132,5270
689,Plp1,132,4804
690,Plp1,132,4581
691,Tac1,132,4274
692,Cryab,132,4168
693,Plp1,132,4138
694,Plp1,132,3949
695,Enpp2,132,3936
696,Plp1,133,5296
697,Enpp2,133,5289
698,Plp1,133,5095
699,Plp1,133,4573
700,3110035E14Rik,133,4269
701,Plp1,133,4207
702,Plp1,133,4203
703,Plp1,133,4145
704,Plp1,133,4134
705,Nrsn1,133,4114
706,Plp1,133,3945
707,Enpp2,133,3937
708,Cryab,133,3876
709,Plp1,134,5283
710,Plp1,134,5274
711,Plp1,134,5094
712,Plp1,134,3947
713,Plp1,134,3841
714,Plp1,134,3815
715,Plp1,135,5420
716,Plp1,135,5417
717,Enpp2,135,4196
718,Enpp2,135,4168
719,Plp1,135,4154
720,Plp1,135,3857
721,Plp1,135,3828
722,Enpp2,136,5413
723,Plp1,136,5287
724,Satb1,136,4964
725,Cryab,136,4824
726,Plp1,136,4809
727,Enpp2,136,4803
728,Plp1,136,4576
729,Plp1,137,5296
730,Plp1,137,5291
731,Plp1,137,5271
732,Plp1,137,5126
733,Trp53i11,137,4488
734,3110035E14Rik,137,4278
735,Plp1,137,4205
736,Plp1,137,4201
737,Pde1a,137,4145
738,Plp1,137,3844
739,Plp1,137,3813
740,Plp1,138,5268
741,Zcchc12,138,4972
742,Wfs1,138,4965
743,Plp1,138,4582
744,Plp1,138,3947
745,Cryab,138,3937
746,Plp1,139,5293
747,Plp1,139,5272
748,Plp1,139,4801
749,Cryab,139,4574
750,Cryab,139,4150
751,Plp1,139,4136
752,Plp1,139,3852
753,Pcp4,139,3816
754,Plp1,140,4581
755,Plp1,141,5414
756,Plp1,141,5298
757,Plp1,141,5292
758,Enpp2,141,5269
759,Plp1,141,5125
760,Cadps2,141,4798
761,Plp1,141,4609
762,Plp1,141,4197
763,Plp1,141,4142
764,Cryab,141,4133
765,Plp1,141,3943
766,Satb1,141,3826
767,Plp1,141,3821
768,Prkca,142,4959
769,Aldoc,142,4939
770,Satb1,142,4810
771,Cadps2,142,4799
772,Plp1,142,4602
773,Plp1,142,4570
774,Cryab,142,4562
775,Plp1,142,4149
776,Plp1,143,5411
777,Enpp2,143,5319
778,Plp1,143,5298
779,Cryab,143,5157
780,Cryab,143,4802
781,Plp1,143,4601
782,Plp1,143,4419
783,Cryab,143,4331
784,Cryab,143,4328
785,Plp1,143,4250
786,Plp1,143,4136
787,Plp1,143,3953
788,Plp1,143,3855
789,Plp1,143,3806
790,Satb1,144,5425
791,Aldoc,144,4950
792,Plp1,144,4816
793,Plp1,144,4606
794,Cryab,144,4123
795,Plp1,145,5400
796,Plp1,145,5231
797,Plp1,145,4626
798,Plp1,145,4597
799,Plp1,145,4576
800,Plp1,145,4566
801,Plp1,145,4060
802,Plp1,145,3949
803,Plp1,145,3822
804,Plp1,146,5297
805,Cryab,146,5237
806,Plp1,146,4974
807,Plp1,146,4811
808,Plp1,146,4806
809,Plp1,146,4556
810,Plp1,146,3796
811,Plp1,147,5415
812,Plp1,147,5298
813,Plp1,147,5277
814,Enpp2,147,5227
815,Id2,147,4955
816,Sst,147,4696
817,Plp1,147,4610
818,Cryab,147,4570
819,Enpp2,147,4059
820,Cryab,147,3931
821,Plp1,147,3788
822,Plp1,148,5297
823,Plp1,148,4614
824,Plp1,148,4272
825,Enpp2,148,4066
826,Sulf2,148,4055
827,Plp1,148,3801
828,Cryab,149,5410
829,Aldoc,149,4985
830,Enpp2,149,4575
831,Plp1,150,5404
832,Plp1,150,5231
833,Id2,150,4809
834,Cryab,150,4689
835,Cryab,150,4599
836,Plp1,150,4568
837,Plp1,150,4562
838,Cryab,150,3959
839,Plp1,150,3935
840,Plp1,151,5398
841,Plp1,151,5266
842,Plp1,151,4627
843,Plp1,151,4420
844,Plp1,151,4417
845,Plp1,151,4415
846,Plp1,151,3817
847,Plp1,151,3808
848,Plp1,152,5267
849,Plp1,152,4618
850,Id2,152,4552
851,Plp1,152,4421
852,Cryab,152,4411
853,Plp1,152,4347
854,Enpp2,153,5413
855,Cryab,153,4808
856,Enpp2,153,4246
857,Plp1,153,4243
858,Enpp2,153,3953
859,Kctd12,154,5228
860,Cryab,154,4609
861,Plp1,154,4340
862,Plp1,154,4234
863,Plp1,155,4798
864,Pvalb,155,4713
865,Slc6a1,155,4427
866,Enpp2,155,4068
867,Plp1,156,5130
868,Plp1,156,4571
869,Plp1,156,4251
870,Enpp2,156,4247
871,Plp1,156,4055
872,Plp1,156,4051
873,Plp1,157,5421
874,Plp1,157,5407
875,Plp1,157,5405
876,Plp1,157,5289
877,Cryab,157,5286
878,Plp1,157,5271
879,Enpp2,157,4607
880,Plp1,157,4572
881,Plp1,157,4410
882,Plp1,157,4325
883,Plp1,157,4056
884,Cryab,157,3796
885,Cryab,158,5237
886,Enpp2,158,5224
887,Plp1,158,4977
888,Plp1,158,4573
889,Enpp2,158,4333
890,Cryab,158,4329
891,Plp1,158,4253
892,Plp1,158,4250
893,Plp1,158,4057
894,3110035E14Rik,158,3991
895,Plp1,159,5404
896,Plp1,159,5382
897,Enpp2,159,5225
898,Plcxd2,159,5211
899,Cryab,159,4336
900,Plp1,159,4247
901,Plp1,159,4244
902,Plp1,160,4231
903,Plp1,161,5380
904,Plp1,161,5302
905,Plp1,161,5218
906,Plp1,161,4328
907,Enpp2,161,4236
908,Plp1,161,4228
909,Plp1,162,5404
910,Enpp2,162,5234
911,Aldoc,162,4412
912,Plp1,162,4198
913,Plp1,162,3938
914,Plp1,163,5381
915,Enpp2,163,4324
916,Plp1,163,3944
917,Plp1,164,5239
918,Arpp21,164,5211
919,Plp1,164,4995
920,Neurod6,164,4987
921,Enpp2,164,4055
922,Cryab,164,3985
923,Plp1,164,3933
924,Plp1,165,5396
925,Rasgrf2,165,5261
926,Plp1,165,4936
927,Plp1,165,4404
928,Enpp2,165,4194
929,Plp1,166,5418
930,Enpp2,166,5408
931,Pcp4,166,5376
932,6330403K07Rik,166,5360
933,Enpp2,166,4246
934,Plp1,166,4189
935,Plp1,166,3936
936,Plp1,166,3927
937,Aldoc,166,3776
938,Plp1,167,5414
939,Plp1,167,5388
940,Enpp2,167,5383
941,6330403K07Rik,167,5359
942,Cryab,167,5284
943,Plp1,167,5231
944,Nrn1,167,5192
945,Plp1,167,4947
946,Plp1,167,4920
947,Tac1,167,4770
948,Plp1,167,4420
949,Plp1,167,4235
950,Plp1,168,5400
951,Plp1,168,5372
952,Rasgrf2,168,5239
953,Plp1,168,5230
954,Cryab,168,4931
955,Plp1,168,4244
956,Plp1,168,4241
957,Reln,168,3939
958,Plp1,168,3923
959,Plp1,169,5226
960,Cryab,169,4943
961,Plp1,169,4932
962,Pcp4,169,4414
963,Pcp4,169,4412
964,Cryab,169,3766
965,Cryab,170,4424
966,Sst,170,4418
967,Pcp4,170,4413
968,Reln,170,4203
969,Plp1,170,3931
970,Plp1,170,3921
971,Pcp4,171,4545
972,Plp1,172,5366
973,Plp1,172,5236
974,Plp1,172,4945
975,Cryab,172,4931
976,Plp1,172,4237
977,Enpp2,172,3705
978,Enpp2,173,5385
979,Cryab,173,5383
980,Plp1,173,4943
981,Enpp2,173,4926
982,Plp1,173,3933
983,Plp1,173,3700
984,Plp1,174,5408
985,Cryab,174,5399
986,Plp1,174,5232
987,Pvalb,174,4671
988,Cnr1,174,4565
989,Plp1,174,4412
990,Plp1,174,4202
991,Satb1,174,3973
992,Reln,174,3713
993,Plp1,174,3708
994,Plp1,175,5374
995,Plp1,175,5235
996,Plp1,175,5228
997,Enpp2,175,3940
998,Plp1,175,3714
999,Thsd7a,176,4194
1000,Reln,176,4149
1001,Plp1,176,3696
1002,Plp1,177,5388
1003,Plp1,177,5378
1004,Cryab,177,5362
1005,Plp1,177,4705
1006,Plp1,177,4234
1007,Plp1,177,4196
1008,Plp1,177,3937
1009,Enpp2,178,5408
1010,Plp1,178,5368
1011,Enpp2,178,5328
1012,Plp1,178,5226
1013,Plp1,178,5110
1014,Plp1,178,3974
1015,Plp1,178,3931
1016,Enpp2,179,5316
1017,Plp1,179,5234
1018,Plp1,179,5088
1019,Plp1,179,4936
1020,Plp1,179,4199
1021,Cryab,179,4061
1022,Plp1,179,3714
1023,Enpp2,180,5361
1024,Enpp2,180,5228
1025,Plp1,180,4239
1026,Plp1,180,3938
1027,Plp1,181,5372
1028,Plp1,181,5308
1029,Reln,181,4248
1030,Plp1,181,4236
1031,Cryab,181,3987
1032,Plp1,181,3968
1033,Plp1,181,3935
1034,Plp1,181,3930
1035,Plp1,181,3706
1036,Plp1,181,3692
1037,Plp1,182,5376
1038,Plp1,182,5359
1039,Pvalb,182,4852
1040,Reln,182,4197
1041,Plp1,182,3705
1042,Plp1,183,5378
1043,Plp1,183,5318
1044,Plp1,183,5307
1045,Cryab,183,5222
1046,Calb2,183,3978
1047,Enpp2,183,3714
1048,Slc6a1,183,3696
1049,Slc6a1,184,5311
1050,Plp1,184,5014
1051,Cplx2,184,4399
1052,Cplx2,184,4398
1053,Plp1,184,4364
1054,Plp1,184,4244
1055,Enpp2,184,3983
1056,Rgs4,184,3698
