cell_id,fov_id,area,x,y
176,0,2031,6601.386016740522,14691.87050713934
177,0,1399,6605.2687634024305,13301.697641172266
178,0,948,6599.502109704641,13888.225738396624
179,0,814,6602.132678132678,15424.351351351352
180,0,1070,6604.681308411215,13650.042056074766
181,0,2685,6636.779143389199,15475.516945996276
182,0,707,6618.749646393211,14403.46676096181
183,0,1206,6628.240464344942,14859.3864013267
184,0,1408,6630.342329545455,15189.265625
185,0,821,6631.077953714982,13785.129110840438
186,0,784,6639.380102040816,14410.048469387755
187,0,271,6635.077490774907,14340.479704797048
188,0,597,6639.561139028476,15349.154103852596
189,0,484,6639.553719008264,14097.714876033058
190,0,305,6641.9081967213115,14330.134426229508
191,0,1197,6645.943191311612,14444.278195488721
192,0,1064,6647.181390977444,15309.936090225565
193,0,1140,6648.24298245614,15101.0649122807
194,0,1697,6662.180907483795,13782.89451974072
195,0,1373,6662.617625637291,15530.85651857247
196,0,906,6660.926048565121,15402.692052980132
197,0,1043,6665.592521572387,14685.32598274209
198,0,361,6661.875346260388,14712.282548476454
199,0,1239,6676.354317998386,15086.029055690073
200,0,910,6691.3824175824175,15310.627472527472
201,0,2382,6700.492863140218,15613.20067170445
202,0,422,6689.5071090047395,15119.748815165876
203,0,1227,6698.42542787286,13514.0456397718
204,0,419,6695.431980906921,14414.687350835322
205,0,1186,6704.9940978077575,15339.474704890388
206,0,471,6701.806794055202,15511.288747346072
207,0,1192,6712.1635906040265,14396.343959731545
208,0,1159,6711.548748921484,14723.593615185504
209,0,906,6715.193156732892,15392.295805739515
210,0,1988,6722.06740442656,14099.456237424547
211,0,1460,6731.789726027398,15660.82602739726
212,0,1727,6735.022582513028,15453.464968152866
213,0,659,6733.253414264036,15616.415781487101
214,0,1211,6743.102394715112,14605.649050371594
215,0,478,6738.286610878661,15536.525104602511
216,0,726,6743.487603305785,15307.293388429753
217,0,1498,6746.900534045394,15713.375166889185
218,0,318,6745.544025157233,14580.037735849057
219,0,532,6750.165413533835,14697.625939849624
220,0,1915,6768.042819843342,15748.745169712794
221,0,692,6753.725433526011,14047.521676300577
222,0,967,6756.468459152016,13988.529472595657
223,0,1221,6758.964782964783,13637.443898443898
224,0,1174,6763.704429301533,15546.524701873936
225,0,737,6760.067842605156,15618.289009497965
226,0,454,6758.590308370044,15773.13436123348
227,0,1739,6787.146060954572,15798.106958021852
228,0,1001,6776.035964035964,15374.122877122878
229,0,1323,6780.674225245653,13453.695389266817
230,0,1814,6792.9818081587655,15664.611356119074
231,0,1201,6789.009991673605,15128.679433805162
232,0,1963,6797.264900662251,15032.479877738157
233,0,775,6790.833548387097,13969.741935483871
234,0,1939,6802.186178442496,14538.323878287778
235,0,471,6797.11677282378,15697.634819532908
236,0,1409,6805.520936834635,14119.569907735982
237,0,1583,6811.386607706886,15828.905874921036
238,0,1294,6826.020092735704,14949.409582689335
239,0,1214,6828.084019769358,15504.531301482702
240,0,1037,6827.329797492767,15863.534233365477
241,0,1240,6827.9782258064515,13787.206451612903
242,0,1209,6833.6385442514475,13527.126550868486
243,0,2209,6848.847442281575,15893.570393843369
244,0,2003,6845.059910134798,14101.054418372441
245,0,1387,6840.842826243692,14685.981254506129
246,0,1317,6850.856492027335,15124.668944570994
247,0,540,6843.262962962963,14236.051851851851
248,0,823,6848.815309842042,13825.217496962334
249,0,1365,6860.504761904762,15715.742857142857
250,0,2863,6876.387355920363,15956.606356968216
251,0,1370,6864.364233576643,15759.357664233576
252,0,1082,6856.994454713494,13658.568391866913
253,0,919,6863.884657236126,15786.880304678998
254,0,1523,6870.367695338148,14467.661851608667
255,0,1249,6869.302642113691,14313.948759007206
256,0,425,6865.672941176471,14383.835294117647
257,0,1748,6883.189359267734,14633.717963386727
258,0,1783,6879.200785193494,14410.14133482894
259,0,1744,6880.014334862385,13984.16857798165
260,0,968,6880.69111570248,13633.944214876034
261,0,827,6879.631197097944,13671.810157194679
262,0,1160,6881.796551724138,15571.604310344828
263,0,361,6875.880886426593,15102.404432132964
264,0,1629,6887.735420503376,15869.642111724985
265,0,1438,6890.011126564673,14731.64116828929
266,0,403,6881.275434243176,13759.672456575683
267,0,1148,6887.840592334494,14117.767421602788
268,0,1251,6892.003996802558,15313.018385291767
269,0,1683,6895.398098633393,15815.224004753416
270,0,1345,6898.700371747212,13893.27063197026
271,0,737,6892.416553595658,15092.435549525102
272,0,1089,6895.083562901745,14938.967860422406
273,0,646,6897.794117647059,13748.560371517027
274,0,1284,6895.357476635514,13804.665887850468
275,0,1236,6895.450647249191,14835.382686084142
276,0,1275,6905.376470588235,16002.508235294117
277,0,1316,6902.219604863222,14233.01443768997
278,0,1304,6903.200153374233,14541.932515337423
279,0,835,6903.897005988024,14599.396407185628
280,0,280,6893.725,14315.896428571428
281,0,328,6893.5640243902435,14582.780487804877
282,0,209,6896.186602870814,13769.31100478469
283,0,346,6899.543352601156,14515.00867052023
284,0,1247,6909.740978348035,13954.96471531676
285,0,2340,6918.853418803419,14671.776923076923
286,0,808,6914.690594059406,15390.320544554455
287,0,211,6912.4928909952605,13792.838862559242
288,0,388,6911.412371134021,15658.064432989691
